"# of Use","# käyttökertaa"
"Compare Products List","Tuotevertailun lista"
"Compare list successfully cleared","Tuotevertailun lista tyhjennetty"
"Conditions Combination","Ehtojen yhdistelmä"
"Configurable Product","Muokattava tuote"
"Configurable Product Settings","Muokattavan tuotteen asetukset"
"Continue","Jatka"
"Copy From Configurable","Kopioi muokattavasta"
"Country/State","Maa/Lääni"
"Create","Luo"
"Create (Upload)","Luo (lataa)"
"Create Empty","Luo tyhjä"
"Create Product Settings","Luo tuotteen asetukset"
"Create Simple Associated Product","Luo yksinkertainen liitännäistuote"
"Create new category","Luo uusi kategoria"
"Create new product","Luo uusi tuote"
"Cross-sells","Tyrkytettävät tuotteet"
"Currently Shopping by","Tämänhetkinen rajaus:"
"Custom Design","Mukailtu ulkomuoto"
"Custom Options","Muokattavat ominaisuudet"
"Customer Group","Asiakasryhmä"
"Customers Reviews","Asiakkaiden arvostelut"
"Customers Tagged Product","Asiakkaat merkitsivät tuotteen asiasanoilla"
"Customers for alert %s was successfuly added to queue","Hintahälytykselle %s lisätty asiakkaat jonoon."
"Data Type for Saving in Database","Tiedostotyyppi tietokantaan tallennusta varten"
"Date","Päivämäärä"
"Date & Time Custom Options","Päivämäärän ja ajan lisäasetukset"
"Date Subscribed","Tilauspäivä"
"Date fields order","Päivämäärän tietojen järjestys"
"Datetime","Aika"
"Decimal","Desimaali"
"Decimal Number","Desimaalinumero"
"Declare attribute value saving scope","Aseta ominaisuuden arvon tallennusnäkymä"
"Default Qty","Oletetusmäärä"
"Default Values","Oletusarvot"
"Default price","Oletushinta"
"Default value","Oletusarvo"
"Delete","Poista"
"Delete Attribute","Poista ominaisuus"
"Delete Attribute Set","Poista ominaisuuskokonaisuus"
"Delete Category","Poista kategoria"
"Delete Option","Poista vaihtoehto"
"Delete Row","Delete Row"
"Delete Search","Poista haku"
"Delete Selected Group","Poista valittu ryhmä"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Riippuvainen teemasta"
"Design","Ulkoasu"
"Disabled","Ei käytössä"
"Display in Suggested Terms","Näytä ehdotetuissa hakusanoissa"
"Double click on a group to rename it","Tuplaklikkaa ryhmään nimetäksesi se uudelleen"
"Double click on above image to view full picture","Tuplaklikkaa kuvaa nähdäksesi sen kokonaan"
"Dropdown","Pudotus"
"Duplicate","Kaksoiskappale"
"Duplicate website tier price customer group and quantity.","Kahdenna (tee kaksoiskappale) sivuston määräalennus, asiakasryhmä ja määrä."
"Duplicate website, country and state tax found.","Verkkosivun, maan tai läänin kaksoiskappaleita löytynyt."
"Edit","Muokkaa"
"Edit Attribute Set '%s'","Muokkaa ominaisuuksien joukkoa '%s'"
"Edit Product Attribute","Muokkaa tuotteen ominaisuutta"
"Edit Product Attribute ""%s""","Muokkaa tuotteen ominaisuutta ""%s"""
"Edit Search","Muokkaa hakua"
"Edit Search '%s'","Muokkaa hakua '%s'"
"Email","Sähköposti"
"Email to a Friend","Sähköpostita ystävälle"
"Empty","Tyhjä"
"Enabled","Käytössä"
"Error during retrieval of option value: %s","Virhe noudettaessa vaihtoehdon arvoa: %s"
"Error while adding customers for %s alert. Message: %s","Virhe lisättäessä asiakkaita %s ilmoitukseen. Viesti: %s"
"Error while saving this group. Group with the same name already exists.","Virhe tallennettaessa tätä ryhmää. Samalla nimellä on jo ryhmä."
"Error while saving this group. Please try again later.","Virhe tallennettaessa tätä ryhmää. Ole hyvä ja yritä myöhemmin uudelleen."
"Exclude","Sulje pois"
"Expand All","Avaa kaikki"
"Failed","Epäonnistui"
"Failed to move file: %s","Tiedoston siirto epäonnistui: %s"
"Feature Products","Esillä olevat tuotteet"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Suodatinmallin nimi täytyy määrittää"
"Filter must be as object. Set correct filter please","Suodattimen täytyy olla kohde. Aseta oikea suodatin, ole hyvä."
"Filterable (no results)","Suodatettava (ei tuloksia)"
"Filterable (with results)","Suodatettava (tuloksellinen)"
"Filters must be as array","Suodattimien täytyy olla taulukkona"
"First Name","Etunimi"
"Fixed","Kiinteä"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Sisäiseen käyttöön. Täytyy olla yksilöllinen ilman välilyöntejä."
"For reindex enabled product(s) you need specify store or product","Indeksoidaksesi käytössä olevat tuotteet sinun täytyy määrittää kauppa tai tuote"
"Frontend","Kaupan näkymä"
"Frontend Model","Kaupan näkymän malli"
"Frontend Properties","Kaupan näkymän asetukset"
"Gallery","Galleria"
"General Information","Yleiset tiedot"
"Get special price","Hanki tarjoushinta"
"Global","Globaali"
"Globally Editable","Globaalisti muokattava"
"Go to Home Page","Mene etusivulle"
"Grid","Taulukkona"
"Grouped Product","Ryhmätuote"
"Groups","Ryhmät"
"Home","Etusivu"
"ID","Tunniste"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jos et määrittele ominaisuuden arvoa kaupalle, oletusarvoa (Admin) käytetään."
"Image","Kuva"
"Image content is not valid base64 data.","Kuvan sisältö ei ole kelvollista base64 dataa."
"Image file not found","Kuvatiedostoa ei löydy"
"Image not exists","Kuvaa ei ole olemassa"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Kuvan tyyppi ja tiedot täytyy määritellä jokaisella kauppanäkymälle."
"In Stock","Varastossa"
"In stock","Varastossa"
"In stock.","Varastossa."
"Incl. Tax","Verollinen"
"Input Type","Tiedon tyyppi"
"Input Validation for Store Owner","Syöttövahvistus kaupan omistajalle"
"Integer","Kokonaisluku"
"Integer Number","Kokonaisluku"
"Invalid Tier Prices","Virheelliset hintatasot"
"Invalid attribute %s","Virheellinen ominaisuus %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Virheellinen vaihtoehto määritetty ominaisuudelle %s (%s), hypätään tietueen yli"
"Invalid attribute set specified, skipping the record","Virheellinen ominaisuuksien joukko määritetty, hypätään tietueen yli"
"Invalid block: %s","Virheellinen sisältölohko: %s"
"Invalid category","Invalid category"
"Invalid category IDs","Virheelliset kategorian tunnisteet"
"Invalid image file type","Virheellinen kuvan tiedostotyyppi."
"Invalid image type.","Virheellinen kuvan tyyppi."
"Invalid option id specified for %s (%s), skipping the record","Virheellinen vaihtoehdon tunniste määritetty tuotteelle (?) %s (%s), hypätään tietueen yli"
"Invalid product type specified, skipping the record","Virheellinen tuotetyyppi määritetty, hypätään tietueen yli"
"Invalid store specified","Virheellinen kauppa määritetty"
"Invalid store specified, skipping the record","Virheellinen kauppa määritetty, hypätään tietueen yli"
"Inventory","Varasto"
"Is Default","On oletus"
"Is Required","Vaadittu"
"Items %s to %s of %s total","Tuotteet %s-%s / %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Tuotteiden tilaksi, joiden et halua näkyvän katalogissa tai haussa tulee asettaa halutussa kaupassa 'Ei käytössä' ."
"Label","Nimike"
"Last Name","Sukunimi"
"Last Notification","Viimeinen muistutus"
"Learn More","Lue lisää..."
"Length of text is too long","Teksti on liian pitkä"
"Letters","Kirjaimet"
"Letters(a-zA-Z) or Numbers(0-9)","Kirjaimet (a-z A-Z) tai numerot (0-9)"
"Line %d, Email: %s","Rivi %d, sähköposti: %s"
"Line %d, SKU: %s","Rivi %d, tuotenumero: %s"
"Link (Related, Up sell, Cross sell)","Linkki (Liittyvä, Lisämyynti, Ristiin myynti)"
"Link product not exists.","Linkin tuotetta ei ole olemassa."
"List","Listana"
"List Mode","Listatila"
"Manage Attribute Sets","Hallinnoi ominaisuuksien joukkoja"
"Manage Attributes","Hallinnoi ominaisuuksia"
"Manage Catalog Categories","Hallinnoi katalogin kategorioita"
"Manage Categories","Hallinnoi kategorioita"
"Manage Label / Options","Hallinnoi nimikettä / vaihtoehtoja"
"Manage Options (values of your attribute)","Hallinnoi vaihtoehtoja (ominaisuuksien arvoja)"
"Manage Product Attributes","Hallinnoi tuotteiden ominaisuuksia"
"Manage Product Sets","Hallinnoi tuotteiden kokonaisuuksia"
"Manage Products","Hallinnoi tuotteita"
"Manage Stock","Ota varastonhallinta käyttöön"
"Manage Titles (Size, Color, etc.)","Hallinnoi otsikoita (koko, väri, jne.)"
"Max Characters","Suurin sallittu merkkimäärä"
"Maximal Depth","Syvyys enintään"
"Maximum Image Size","Suurin sallittu kuvan koko"
"Maximum Qty Allowed in Shopping Cart","Suurin sallittu määrä ostoskorissa"
"Maximum image height","Suurin kuvan korkeus"
"Maximum image width","Suurin kuvan leveys"
"Maximum number of characters","Suurin sallittu merkkimäärä"
"Media Image","Mediakuva"
"Minimum Lines Per Page","Rivien vähimmäismäärä/sivu"
"Minimum Qty Allowed in Shopping Cart","Pienin sallittu määrä ostoskorissa"
"Minimum Qty for Item's Status to be Out of Stock","Vähimmäismäärä, jolloin tuote merkataan varastosta loppuneeksi"
"Missing SKU, skipping the record","Tuotekoodi puuttuu, hypätään tietueen yli"
"More Views","Lisää kuvia"
"Move","Siirrä"
"Move category in tree","Siirrä kategoriaa kategoriapuussa"
"Multiple Select","Monivalinta"
"Name","Nimi"
"Name In %s","Nimi (missä) %s"
"Name<br/>(For internal use)","Nimi<br/>(sisäiseen käyttöön)"
"New Category","Uusi kategoria"
"New Product","Uusi tuote"
"New Product Attribute","Uusi tuoteominaisuus"
"New Products","Uudet tuotteet"
"New Search","Uusi haku"
"New Set Name","Uusi kokonaisuuden nimi"
"Next","Seuraava"
"No","Ei"
"No image","Ei kuvaa"
"No layout updates","Ei sommitelman päivityksiä"
"No options of this product are available.","Tälle tuotteelle ei ole saatavilla vaihtoehtoja."
"No product collections found","Tuotteiden kokoelmia ei löytynyt"
"None","Ei mikään"
"Not shared with other products","Ei jaeta toisten tuotteiden kanssa"
"Notify Low Stock RSS","Ilmoita huono varastotilanne RSS-syötteellä"
"Notify for Quantity Below","Ilmoita jos määrä on alle"
"Nowhere","Ei missään"
"Number of Uses","Käyttökerrat"
"Number of results<br/>(For last time placed)","Tulosten määrä<br/>(Kun haettiin viimeksi)"
"OR","TAI"
"Old Price:","Vanha hinta:"
"Option validation failed to add product to cart","Tuotetta ei voinut lisätä ostoskoriin koska tuotevaihtoehdon validointi epäonnistui."
"Option:","Vaihtoehto:"
"Options Control","Vaihtoehtojen hallinta"
"Options is required","Vaihtoehdot vaaditaan"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Asiakaspalvelumme on tavoitettavissa 24/7. Soita numeroon (555) 555-0123."
"Out of Stock","Loppu varastosta"
"Out of stock","Loppu varastosta"
"Out of stock.","Loppu varastosta."
"PM","PM"
"Page Title Separator","Sivun otsikon erotin"
"Page:","Sivu:"
"Parent Category","Yläkategoria"
"Pending","Odottaa"
"Pending Reviews RSS","Odottavien arvostelujen RSS-syöte"
"Percentage","Prosenttiosuus"
"Please add rows to option.","Lisää rivejä vaihtoehdolle."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Ole varovainen, klikatessasi riviä paketin tiedot lataantuvat ja kaikki tallentamattomat tiedot lomakkeesta menetetään."
"Please click on Close Window button if it won't be closed automatically","Ole hyvä ja klikkaa 'Sulje ikkuna -nappia' jos se ei sulkeudu automaattisesti"
"Please enter a new group name","Anna uusi ryhmän nimi"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Valitse tuotteet"
"Please select one or more attributes.","Valitse yksi tai useampi ominaisuus."
"Please select product(s)","Valitse tuote tai tuotteita"
"Please select products for attributes update","Valitse ominaisuuksien päivitykselle tuotteet"
"Please select static block ...","Valitse muuttumaton sisältölohko..."
"Please set up merge date/time .","Aseta päivämäärän/ajan yhdistäminen"
"Please specify date required option(s)","Valitse päivämäärälle vaaditut ominaisuudet"
"Please specify the product option(s)","Valitse tuotteen ominaisuudet"
"Please specify the product required option(s)","Määritä tuotteen tiedot"
"Please specify the product(s) quantity","Syötä tuotteiden määrät"
"Please specify time required option(s)","Valitse ajalle vaaditut ominaisuudet"
"Please, use four-digit year format","Käytä vuosissa nelinumeroista muotoa"
"Position","Sijainti"
"Position In Layered Navigation","Sijainti kerroksittaisessa navigaatiossa"
"Position of attribute in layered navigation block","Ominaisuuden sijainti kerroksittaisen navigaation sisältölohkossa"
"Prev","Edellinen"
"Previous","Edellinen"
"Price","Hinta"
"Price Type","Hinnan tyyppi"
"Price values for options should be specified in system base currency.","Hinta-arvot vaihtoehdoille tulee määrittää järjestelmän kantavaluutassa."
"Price:","Hinta:"
"Print This Page","Tulosta tämä sivu"
"Problem saving the collection, aborting. Error: %s","Virhe tallennettaessa kokoelmaa, keskeytetään. Virhe: %s"
"Product","Tuote"
"Product %s successfully added to compare list","Tuote %s lisätty vertailuun"
"Product %s successfully removed from compare list","Tuote %s poistettu vertailusta"
"Product API","Product API"
"Product Alerts","Tuotehälytykset"
"Product Attribute","Tuotteen ominaisuus"
"Product Attributes","Tuotteen ominaisuudet"
"Product Categories","Tuotekategoriat"
"Product Description","Kuvaus"
"Product Image Placeholders","Tuotekuvien paikanpitäjät"
"Product Image Watermarks","Tuotekuvien vesileimat"
"Product Images","Tuotekuvat"
"Product Images API","Tuotekuvien API"
"Product In Websites","Tuote sivustoilla"
"Product Info Column","Samassa palstassa tuotetietojen kanssa"
"Product Information","Tuotteen tiedot"
"Product Name","Tuotteen nimi"
"Product Reviews","Tuotteen arvostelu"
"Product Tags","Tuotteen asiasanat"
"Product Tier Price API","Tuotteen hintatason API"
"Product Type","Tuotteen tyyppi"
"Product URL Suffix","Tuotteiden URL:n pääte"
"Product attribute sets API","Tuotteen ominaisuuksien joukon API"
"Product attribute was successfully deleted","Tuotteen ominaisuus poistettu"
"Product attribute was successfully saved","Tuotteen ominaisuus tallennettu"
"Product attributes API","Tuotteen ominaisuuksien API"
"Product collection expected","Tuotevalikoima odotettavissa"
"Product deleted","Tuote poistettu"
"Product duplicated","Tuotteesta tehtiin kaksoiskappale"
"Product has required options","Tuotteella on vaadittuja vaihtoehtoja"
"Product links API (related, cross sells, up sells)","Tuotelinkkien API (liittyvät, ristiin myynti, lisämyynti)"
"Product listing sort by","Tuotelistan järjestys"
"Product saving error.","Tuotteen tallennusvirhe."
"Product saving error. ","Tuotteen tallennusvirhe. "
"Product types API","Tuotetyyppien API"
"Product was successfully created.","Tuote luotu."
"Product was successfully saved.","Tuote tallennettu."
"Product with this combination of attributes already associated to configurable.","Tuote tällä yhdistelmällä on jo ominaisuuksia liitettynä muokattavaan tuotteeseen."
"Products","Tuotteet"
"Products Information","Tuotteiden tiedot"
"Products Reviews","Tuotteiden arvostelut"
"Products Sitemap","Tuotteiden sivukartta"
"Products only","Vain tuotteet"
"Products per Page on Grid default value","Tuotteita/sivu taulukossa, oletusarvo"
"Products per Page on List allowed values","Tuotteita/sivu listassa, sallitut arvot"
"Products per Page on List default value","Tuotteita/sivu listassa, oletusarvo"
"Products per page on Grid allowed values","Tuotteita/sivu taulukossa, sallitut arvot"
"Properties","Asetukset"
"Qty","Kpl"
"Qty Uses Decimals","Kpl desimaalein"
"Qty for Item's Status to become Out of Stock","Määrä, jolloin tuote merkataan varastosta loppuneeksi"
"Quick Create","Nopea luonti"
"Quick Overview","Kuvaus"
"Quick simple product creation","Nopea yksinkertaisen tuotteen luonti"
"Records for ""","Tietueet (mille) """
"Redirect","Uudelleenohjaus"
"Redirect URL","Uudelleenohjaus osoitteeseen"
"Regular Price:","Normaali hinta:"
"Related Products","Liittyvät tuotteet"
"Remove","Poista"
"Remove Product","Poista tuote"
"Remove Product From Websites","Poista tuote sivustoilta"
"Remove This Item","Poista tämä"
"Remove product assignment","Poista tuotteen tehtävä"
"Remove product image","Poista tuotteen kuva"
"Remove product link","Poista tuotteen linkki"
"Required","Vaadittu"
"Reset","Tyhjennä"
"Results","Tulokset"
"Retrieve attribute data","Hae ominaisuuden tiedot"
"Retrieve attribute list","Hae ominaisuuden lista"
"Retrieve attribute options","Hae ominaisuuden asetukset"
"Retrieve categories tree","Hae kategoriapuu"
"Retrieve category attributes","Hae kategorian ominaisuudet"
"Retrieve category data","Hae kategorian tiedot"
"Retrieve hierarchical tree","Hae hierarkkinen puu"
"Retrieve linked products","Hae linkitetyt tuotteet"
"Retrieve list of assigned products","Hae lista liitetyistä tuotteista"
"Retrieve one level of categories by website/store view/parent category","Hae yksi taso kategorioita verkkosivun/kaupan näkymältä/yläkategorialta"
"Retrieve product","Hae tuote"
"Retrieve product attribute sets","Hae tuotteen ominaisuuksien joukot"
"Retrieve product image","Hae tuotekuva"
"Retrieve product image list","Hae tuotekuvien lista"
"Retrieve product image types","Hae tuotekuvien tyypit"
"Retrieve product link type attributes","Hae tuotelinkin ominaisuudet"
"Retrieve product link types","Hae tuotelinkin tyypit"
"Retrieve product tier prices","Hae tuotteen hintataso"
"Retrieve product types","Hae tuotetyypit"
"Retrieve products data","Hae tuotteiden tiedot"
"Retrieve products list by filters","Hae suodatettu tuotelista"
"Review successfully deleted","Arvostelu poistettu"
"Review was saved successfully","Arvostelu tallennettu"
"Review was successfully saved","Arvostelu tallennettu"
"Reviews","Arvostelut"
"Roll Over for preview","Aja yli esikatselua varten"
"Root","Juuri"
"SKU","Tuotekoodi"
"Save","Tallenna"
"Save And Continue Edit","Tallenna ja jatka muokkaamista"
"Save Attribute","Tallenna ominaisuus"
"Save Attribute Set","Tallenna ominaisuuskokoelma"
"Save Category","Tallenna kategoria"
"Save Search","Tallenna haku"
"Saved ","Tallennettu"
"Scope","Näkymä"
"Search","Haku"
"Search Engine Optimizations","Hakukoneoptimointi"
"Search Information","Haun tiedot"
"Search Query","Hakulauseke"
"Search Term was successfully saved","Hakusana tallennettu"
"Search Term with such search query already exist.","Hakusana kyseisellä hakulausekkeella on jo olemassa."
"Search was successfully deleted","Haku poistettu"
"Searchable","Haettavissa"
"Select Configurable Attributes ","Valitse muokattavat ominaisuudet"
"Select type of option","Valitse vaihtoehdon tyyppi"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Valitut tuotetyypit"
"Selected configuration is not available.","Valittu kokoonpano ei ole saatavilla."
"Send Count","Lähetysmäärä"
"Set Ascending Direction","Nouseva"
"Set Descending Direction","Laskeva"
"Set Name","Aseta nimi"
"Set Root Category For Store","Aseta juurikategoria kaupalle"
"Set root category for this store in the <a href=""%s"">configuration</a>","Aseta juurikategoria tälle kaupalle <a href=""%s"">asetuksissa</a>"
"Set special price","Aseta erikoishinta"
"Set/Get current store view","Aseta/Hae nykyinen kauppanäkymä"
"Settings","Asetukset"
"Shop by","Rajaa"
"Shopping Options","Ominaisuudet"
"Show","Näytä:"
"Show Details","Näytä lisätiedot"
"Show Tags","Näytä avainsanat"
"Simple Product","Yksinkertainen tuote"
"Site Map","Sivukartta"
"Sitemap","Sivustokartta"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ohitetaan rivin tuonti, ""%s"" on virheellinen arvo tietokentälle ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Ohitetaan rivin tuonti, vaadittua tietokenttää ""%s"" ei ole määritetty uusille asiakkaille"
"Skip import row, required field ""%s"" for new products not defined","Ohitetaan rivin tuonti, vaadittua tietokenttää ""%s"" ei ole määritetty uusille tuotteille"
"Skip import row, required field ""%s"" not defined","Ohitetaan rivin tuonti, vaadittua tietokenttää ""%s"" ei ole määritetty"
"Skip import row, store ""%s"" field not exists","Ohitetaan rivin tuonti, kaupan ""%s"" tietokenttää ei ole olemassa"
"Sort Order","Järjestys"
"Sort by","Järjestys"
"Source Model","Lähteen malli"
"Special Price:","Erikoishinta:"
"Starting at:","Alkaen:"
"Static","Muuttumaton"
"Static block and products","Muuttumaton sisältölohko ja tuotteet"
"Static block only","Ainoastaan muuttumaton sisältölohko"
"Status","Tila"
"Stock Availability","Saatavuus"
"Store","Kauppa"
"Store View","Kauppanäkymä"
"Stretch","Venytä"
"Subscribe to Feed","Tilaa syöte"
"Subscribe to RSS Feed","Tilaa RSS-syöte"
"Super product attributes configuration","Supertuotteen ominaisuuksien asetukset"
"Synonym For","Synonyymi sanalle"
"Synonym for","Synonyymi sanalle"
"System","Järjestelmä"
"System Properties","Järjestelmäasetukset"
"Tag Name","Asiasanan nimi"
"Tax","Tax"
"Text","Teksti"
"Text Area","Tekstialue"
"Text Field","Tekstikenttä"
"There are no %s available.","%s ei ole saatavilla."
"There are no customers for this alert","Tälle hälytykselle ei ole asiakkaita"
"There are no products matching the selection.","Valintaa vastaavia tuotteita ei ole."
"There was an error while adding products to websites","Lisättäessä tuotteita sivustoille tapahtui virhe"
"There was an error while cleared compare list","Vertailulistaa tyhjennettäessä tapahtui virhe"
"There was an error while removing products from websites","Tuotteita poistettaessa sivustoilta tapahtui virhe"
"There was an error while updating product(s) attributes","Tuotteiden ominaisuuksia päivitettäessä tapahtui virhe"
"There was an error while updating product(s) status","Tuotteiden tilaa päivitettäessä tapahtui virhe"
"This attribute no longer exists","Tätä ominaisuutta ei enää ole olemassa."
